Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
38,0.15661952286668068,0.01044130152444538,0.15661952286665828,0.010441301524443886,0.15661952286665828,0.010441301524443886,0.0,0.0,0.15661952286665828,0.010441301524443886,0.023957752962001422,0.023957752962001422,8.28987991764755e-05,0.008844117993645284,1.2298978315770661,304,289,15,19.266666666666666,0
39,0.11627390044564123,0.010570354585967385,0.11351525471919963,0.010319568610836329,0.11351525471919963,0.010319568610836329,0.0,0.002758645726423481,0.11351525471919963,0.010319568610836329,0.02175549337086835,0.01899684764444487,9.003245329120791e-05,0.00859258246134299,0.1538608771402572,222,211,11,19.181818181818183,0
40,0.11372042307477415,0.010338220279524923,0.11372042307475516,0.010338220279523197,0.11372042307475516,0.010338220279523197,0.0,0.0,0.11372042307475516,0.010338220279523197,0.019202016000001265,0.019202016000001265,8.848855299539753e-05,0.00859258246134299,0.4120473960553497,228,217,11,19.727272727272727,0
41,0.24415225205895652,0.010615315306911153,0.24415225205893024,0.01061531530691001,0.24415225205893024,0.01061531530691001,0.0,0.0,0.24415225205893024,0.01061531530691001,0.03477982049446737,0.03477982049446737,7.746062470928145e-05,0.00910314919845605,0.4392398210591608,472,449,23,19.52173913043478,0
42,0.11322649738588453,0.01029331794417132,0.11322649738586618,0.010293317944169654,0.11322649738586618,0.010293317944169654,0.0,0.0,0.11322649738586618,0.010293317944169654,0.018708090311111647,0.018708090311111647,9.30750761746848e-05,0.00859258246134299,0.2549134822464332,212,201,11,18.272727272727273,0
43,0.19281396313503407,0.01205087269593963,0.19281396313503663,0.012050872695939789,0.19281396313503663,0.012050872695939789,0.0,0.0,0.19281396313503663,0.012050872695939789,0.024230290648965536,0.024230290648965536,7.892602817252617e-05,0.010536479530379284,1.5,323,307,16,19.1875,0
44,0.09664461299988503,0.013806373285697861,0.09164206682626656,0.013091723832323795,0.09164206682626656,0.013091723832323795,0.0,0.005002546173617617,0.09164206682626656,0.013091723832323795,0.023521043240283035,0.018518497066665418,0.0001332265976019095,0.010446224251371714,0.04765526659777919,146,139,7,19.857142857142858,0
45,0.19200458712683854,0.010666921507046586,0.1883548422493061,0.010464157902739227,0.1883548422493061,0.010464157902739227,0.0,0.003649744877527894,0.1883548422493061,0.010464157902739227,0.02900787109975056,0.025358126222222666,7.245178920635047e-05,0.009055373112615998,0.05806982919265735,368,350,18,19.444444444444443,0
46,0.16131778617668502,0.011522699012620359,0.16131778617667106,0.011522699012619361,0.16131778617667106,0.011522699012619361,0.0,0.0,0.16131778617667106,0.011522699012619361,0.023923081317555273,0.023923081317555273,8.667783086070752e-05,0.009813907489937839,0.785299415765234,290,276,14,19.714285714285715,0
47,0.147451796430893,0.010532271173635215,0.14687054556659007,0.010490753254756433,0.14687054556659007,0.010490753254756433,0.0,0.0005812508642861758,0.14687054556659007,0.010490753254756433,0.023259851233692785,0.02267860036940661,8.722538603617927e-05,0.008870853228371445,0.03281767116074619,274,260,14,18.571428571428573,0
48,0.16699671379945258,0.010437294612465786,0.16699671379943434,0.010437294612464646,0.16699671379943434,0.010437294612464646,0.0,0.0,0.16699671379943434,0.010437294612464646,0.02423958318730257,0.02423958318730257,7.695105773746848e-05,0.008922320663259375,1.5,331,315,16,19.6875,0
49,0.23506236538400316,0.010684652972000143,0.23506236538397018,0.010684652971998644,0.23506236538397018,0.010684652971998644,0.0,0.0,0.23506236538397018,0.010684652971998644,0.03465083052698503,0.03465083052698503,7.947438194262623e-05,0.009109615220773552,1.5,458,436,22,19.818181818181817,0
